Date,Open,High,Low,Close,Volume,Adj Close,NDX,SP500,ewma_5,ewma_22,ewma_200,MACD,Lower band,Upper band,Middle band,AO,AC,%R
15-08-13,288.790009,289.299988,285.149994,286.470001,2261400,286.470001,3076.22998,1661.319946,292.0240707,296.66288,268.3966154,-0.234862004,288.6509887,311.7240142,300.1875014,-3.898323668,-3.646954367,66.6199366
16-08-13,286.549988,288.329987,284.5,284.820007,2422500,284.820007,3073.909912,1655.829956,289.6227162,295.6330649,268.5600322,-1.102767481,286.0113547,312.3226478,299.1670012,-6.219528521,-4.084537731,66.81596772
19-08-13,285.190002,289.559998,283.480011,285.570007,2477400,285.570007,3069.76001,1646.060059,288.2718131,294.7580164,268.7292857,-1.710354193,283.9641588,312.5788433,298.271501,-8.534674321,-4.369867875,66.72686234
20-08-13,285.880005,289.51001,285.73999,287.089996,1586300,287.089996,3082.169922,1652.349976,287.8778741,294.091232,268.9119794,-2.045639769,282.4955343,312.6504676,297.5730009,-9.8324989,-3.746199458,66.54627674
21-08-13,285.089996,288.5,283.829987,284.570007,1815300,284.570007,3071.469971,1642.800049,286.7752517,293.2632994,269.0677806,-2.486040528,280.7188798,312.9901226,296.8545012,-11.1550019,-3.226996436,66.84566951
22-08-13,284.799988,289.869995,284.799988,289.730011,1422600,289.730011,3101.820068,1656.959961,287.7601715,292.9560569,269.273375,-2.391128661,280.0447026,312.2973015,296.171002,-11.22447196,-1.831236839,66.23262403
23-08-13,291.209991,291.5,287.899994,290.01001,1961900,290.01001,3124.27002,1663.5,288.5101177,292.699879,269.4797096,-2.267182079,280.5748542,309.5671499,295.071002,-10.59085311,-0.323353074,66.19935814
26-08-13,290.429993,291.049988,285.619995,286.209991,1711700,286.209991,3122.669922,1656.780029,287.7434088,292.1355409,269.6461801,-2.44737152,280.0445462,308.1084564,294.0765013,-10.17035521,0.424281004,66.65082765
27-08-13,283.869995,285.279999,279.73999,280.929993,2476000,280.929993,3059.580078,1630.47998,285.4722702,291.1611454,269.7584568,-2.981851731,278.3804644,307.6245371,293.0025007,-10.93276806,-0.118078014,67.27812929
28-08-13,280.359985,283,279.329987,281.579987,1457100,281.579987,3072.169922,1634.959961,284.1748425,290.3280012,269.876084,-3.314771444,277.0874653,306.9535348,292.0205,-11.48482658,-0.604171592,67.20090534
29-08-13,281.450012,285.980011,280,283.980011,1566400,283.980011,3093.360107,1638.170044,284.1098986,289.776002,270.0164216,-3.346375898,277.0467933,304.8352072,290.9410002,-11.76455941,-0.775886935,66.91576527
30-08-13,284.589996,284.869995,280,280.980011,1534700,280.980011,3073.810059,1632.969971,283.0666028,289.0111333,270.125512,-3.572318123,276.6955112,302.8634913,289.7795012,-12.51947106,-1.145074995,67.27218679
03-09-13,284.730011,291.390015,284.170013,288.799988,2897600,288.799988,3091.76001,1639.77002,284.9777312,288.9927728,270.3113277,-3.084812378,277.1962504,301.1437519,289.1700011,-12.05193719,-0.301224732,66.34311743
